反照率 Albedo
纹理输入纹理 TexInputTexture
采样静脉数据 SampVeinsData
采样地面Nar SampGroundNar
采样颜色粗糙度 SampColorRoughness
随机翻转 RandomFlipping
纹理滚动噪声 TexScrollNoise
透光强度 TranslunencyPower
纹理置换贴图 TexDisplacementMap
深度偏差 DepthBias
采样背景Alpha SampBackgroundAlpha
相交强度 InteresectIntensity
纹理坐标 Texcoord
椭圆遮罩总数 EllipseMaskTotal
次颜色变化法线混合 SecondaryColorVariationNormalBlend
近处深度淡化距离 DepthFadeDistanceNear
纹理扫描贴图 TexSweepTexture
孢子噪点贴图 TexSporeNoise
顶点偏移正弦最大值 VertexOffsetSineMax
能量线速度 EnergyLinesSpeed
飞船视频纹理Y TexShipVideoTextureY
虫胶权重正数 BugGunkWeightsPositive
屏幕警报 ScreenAlert
能量扭曲强度 EnergyDistortionStrength
玻璃随机斜率 GlassRandomSlope
最大粗糙度 MaxRoughness
正弦时间速度 SinTimeSpeed
色调映射A TonemapA
噪点不透明度倍增 NoiseOpacityMult
泥浆法线混合量 MudNormalBlendAmount
风化数据遮罩采样 SampWeatheringDataMask
累积UAV AccumulationUav
ACES Aces
ACES高系数 AcesCoefsHigh
ACES低系数 AcesCoefsLow
ACES最大点 AcesMaxPoint
ACES中点 AcesMidPoint
ACES最小点 AcesMinPoint
ACES斜率 AcesSlope
环境漫反射地面反弹色调 AmbientDiffuseGroundBounceTint
环境漫反射远近探针插值 AmbientDiffuseNearFarProbeLerp
环境漫反射色调 AmbientDiffuseTint
仅环境可视化 AmbientOnlyVisualization
各向异性采样器 AnisotropicSampler
AO偏差 AoBias
AO启用 AoEnabled
AO衰减 AoFalloff
AO半分辨率 AoHalfRes
AO高度图压平量 AoHeightmapFlattenAmount
AO强度 AoIntensity
AO最小倍增因子 AoMinToMultiplyFactor
AO偏移 AoOffset
AO半径 AoRadius
AO使用世界半径 AoUseWorldRadius
AQTQ Aqtq
资产等级颜色灌木 AssetGradeColorBushes
资产等级颜色通用岩石 AssetGradeColorGenericRock
资产等级颜色草地 AssetGradeColorGrass
资产等级颜色树叶 AssetGradeColorLeaves
资产等级颜色卵石 AssetGradeColorPebbles
资产等级颜色道路 AssetGradeColorRoads
资产等级颜色次要道路 AssetGradeColorRoadsSec
资产等级颜色岩石 AssetGradeColorRocks
资产等级颜色次要岩石 AssetGradeColorRocksSec
资产等级颜色树干 AssetGradeColorTrunks
资产等级颜色远景 AssetGradeColorVista
资产等级对比度灌木 AssetGradeContrastBushes
资产等级对比度通用岩石 AssetGradeContrastGenericRock
资产等级对比度草地 AssetGradeContrastGrass
资产等级对比度树叶 AssetGradeContrastLeaves
资产等级对比度中点灌木 AssetGradeContrastMidpointBushes
资产等级对比度中点通用岩石 AssetGradeContrastMidpointGenericRock
资产等级对比度中点草地 AssetGradeContrastMidpointGrass
资产等级对比度中点树叶 AssetGradeContrastMidpointLeaves
资产等级对比度中点卵石 AssetGradeContrastMidpointPebbles
资产等级对比度中点道路 AssetGradeContrastMidpointRoads
资产等级对比度中点次要道路 AssetGradeContrastMidpointRoadsSec
资产等级对比度中点岩石 AssetGradeContrastMidpointRocks
资产等级对比度中点次要岩石 AssetGradeContrastMidpointRocksSec
资产等级对比度中点树干 AssetGradeContrastMidpointTrunks
资产等级对比度中点远景 AssetGradeContrastMidpointVista
资产等级对比度卵石 AssetGradeContrastPebbles
资产等级对比度道路 AssetGradeContrastRoads
资产等级对比度次要道路 AssetGradeContrastRoadsSec
资产等级对比度岩石 AssetGradeContrastRocks
资产等级对比度次要岩石 AssetGradeContrastRocksSec
资产等级对比度树干 AssetGradeContrastTrunks
资产等级对比度远景 AssetGradeContrastVista
资产等级启用 AssetGradeEnabled
资产等级色调灌木 AssetGradeHueBushes
资产等级色调通用岩石 AssetGradeHueGenericRock
资产等级色调草地 AssetGradeHueGrass
资产等级色调树叶 AssetGradeHueLeaves
资产等级色调卵石 AssetGradeHuePebbles
资产等级色调道路 AssetGradeHueRoads
资产等级色调次要道路 AssetGradeHueRoadsSec
资产等级色调岩石 AssetGradeHueRocks
资产等级色调次要岩石 AssetGradeHueRocksSec
资产等级色调树干 AssetGradeHueTrunks
资产等级色调远景 AssetGradeHueVista
资产等级饱和度灌木 AssetGradeSaturationBushes
资产等级饱和度通用岩石 AssetGradeSaturationGenericRock
资产等级饱和度草地 AssetGradeSaturationGrass
资产等级饱和度树叶 AssetGradeSaturationLeaves
资产等级饱和度卵石 AssetGradeSaturationPebbles
资产等级饱和度道路 AssetGradeSaturationRoads
资产等级饱和度次要道路 AssetGradeSaturationRoadsSec
资产等级饱和度岩石 AssetGradeSaturationRocks
资产等级饱和度次要岩石 AssetGradeSaturationRocksSec
资产等级饱和度树干 AssetGradeSaturationTrunks
资产等级饱和度远景 AssetGradeSaturationVista
资产等级明度灌木 AssetGradeValueBushes
资产等级明度通用岩石 AssetGradeValueGenericRock
资产等级明度草地 AssetGradeValueGrass
资产等级明度树叶 AssetGradeValueLeaves
资产等级明度卵石 AssetGradeValuePebbles
资产等级明度道路 AssetGradeValueRoads
资产等级明度次要道路 AssetGradeValueRoadsSec
资产等级明度岩石 AssetGradeValueRocks
资产等级明度次要岩石 AssetGradeValueRocksSec
资产等级明度树干 AssetGradeValueTrunks
资产等级明度远景 AssetGradeValueVista
图集裁剪 AtlasScissor
大气启用 AtmosphereEnabled
大气强度 AtmosphereIntensity
大气最小光照 AtmosphereMinimumLight
大气尺寸缩放倍数太空行星 AtmosphereSizeScaleMultSpaceplanet
原子缓冲区 AtomicBuffer
烘焙索引 BakeIndex
烘焙漫反射增强反比 BakerDiffuseBoostInv
烘焙自发光缩放 BakerEmissiveScale
烘焙间接光照缩放 BakerIndirectScale
烘焙光照索引缓冲区 BakerLightIndexBuffer
烘焙光照参数缓冲区 BakerLightParameterBuffer
烘焙材质图集反比尺寸 BakerMaterialAtlasInvSize
烘焙天光强度 BakerSkylightIntensity
BAS Bas
黑洞开启 BlackHoleOn
黑洞位置 BlackHolePos
黑洞旋转轴 BlackHoleRotationAxis
黑洞旋转弧度 BlackHoleRotationRadians
阻挡生成遮罩 BlockerGenerationMask
阻挡遮罩 BlockerMask
泛光衰减 BloomFalloff
泛光镜头污垢量 BloomLensDirtAmount
泛光镜头污垢指数 BloomLensDirtExponent
泛光级别权重 BloomLevelWeights
泛光级别权重连续 BloomLevelWeightsCont
泛光级别权重夜晚 BloomLevelWeightsNight
泛光级别权重夜晚连续 BloomLevelWeightsNightCont
泛光饱和度 BloomSaturation
泛光阈值偏移衰减 BloomThresholdOffsetFalloff
泛光色调 BloomTint
泛光色调夜晚 BloomTintNight
布尔 Bool
盒子缩放 BoxScale
盒子平移 BoxTranslation
盒子世界矩阵 BoxWtm
宽相位AABB BroadPhaseAabb
宽相位索引 BroadPhaseIndices
笔刷颜色 BrushColor
笔刷类型 BrushType
C大气环境计算 CAtmosphereAmbienceCalculate
C大气计算 CAtmosphereCalculate
C大气雾计算 CAtmosphereFogCalculate
C大气呈现 CAtmospherePresent
C计算周围亮度 CCalculateSurroundingLuminance
C云层 CClouds
C立方体贴图 CCubemap
C最终化雾体积 CFinalizeFogVolumes
C高空云层 CHighAltClouds
C镜头光晕 CLensFlare
C镜头光晕通用 CLensFlareCommon
C光照 CLighting
C行星大气太空 CPlanetAtmosphereSpace
C光线行进 CRaymarch
C飞船中心探针烘焙 CShipHubProbeBake
C天空盒效果参数 CSkyboxEffectParameters
C太空背景星云 CSpaceBackdropNebula
C太空探针背景 CSpaceProbeBackdrop
C远景缓冲区 CVistaBuffer
C伤口 CWounds
相机射线方向 CameraRayDirection
相机射线原点 CameraRayOrigin
CANN Cann
焦散强度 CausticsIntensity
角色ID CharacterId
图表ID纹理 ChartIdTexture
钳制线性 ClampLinear
清除大气环境槽 ClearAtmosphereAmbientSlot
清除平均太空光照 ClearAverageSpaceLight
清除云彩阴影平均槽 ClearCloudColoredShadowAverageSlot
清除云顶环境颜色 ClearCloudTopAmbientColor
清除地面环境颜色 ClearGroundAmbientColor
清除值 ClearValue
云吸收环境 CloudAbsorptionAmbient
云环境最小值 CloudAmbientMinimum
云比尔 CloudBeer
云覆盖率 CloudCoverage
云密度倍增 CloudDensityMultiplier
云细节噪点偏移 CloudDetailNoiseOffset
云全局事件颜色 CloudGlobalEventColor
云内外散射 CloudInVsOutscatter
云内散射 CloudInscatter
云噪点偏移 CloudNoiseOffset
云外散射 CloudOutscatter
云阴影密度 CloudShadowsDensity
云阴影密度偏移 CloudShadowsDensityOffset
云阴影启用 CloudShadowsEnabled
云阴影不透明度 CloudShadowsOpacity
云速度 CloudSpeed
云启用 CloudsEnabled
颜色 Color
色盲模拟 ColorBlindnessSimulation
色彩分级阴天新数学启用 ColorGradingCloudyNewMathEnabled
计算模式 ComputeMode
震荡量 ConcussionAmount
震荡RoRiGh ConcussionRoRiGh
混乱量 ConfusionAmount
混乱RoRiGh ConfusionRoRiGh
混乱旋转RotsCr ConfusionRotaRotsCr
常量颜色 ConstantColor
复制输入Mip级别 CopyInputMipLevel
CS体积光索引缓冲区 CsVolumetricLightIndexBuffer
CS体积光索引数据大小 CsVolumetricLightIndexDataSize
立方体贴图上下文相机 CubemapContextCamera
立方体贴图逆视图 CubemapInvView
立方体贴图逆视图投影 CubemapInvViewProj
立方体贴图Mip级别 CubemapMipLevels
立方体贴图投影 CubemapProj
立方体贴图采样器 CubemapSampler
立方体贴图视图 CubemapView
立方体贴图视图投影 CubemapViewProj
当前曝光位置 CurrentExposurePos
当前切片 CurrentSlice
自定义迷彩可视化纹理 CustomizationCamoVisualisationTexture
自定义迷彩可视化纹理缓冲区 CustomizationCamoVisualisationTextureBuffer
自定义披风可视化纹理 CustomizationCapeVisualisationTexture
自定义披风可视化纹理缓冲区 CustomizationCapeVisualisationTextureBuffer
自定义控制缓冲区 CustomizationControlBuffer
自定义材质可视化纹理 CustomizationMaterialVisualisationTexture
自定义材质可视化纹理缓冲区 CustomizationMaterialVisualisationTextureBuffer
自定义图案可视化纹理 CustomizationPatternVisualisationTexture
自定义图案可视化纹理缓冲区 CustomizationPatternVisualisationTextureBuffer
CVYS Cvys
调试星云 DebugNebula
去饱和 Desaturate
去饱和高光量 DesaturateHighlightAmount
去饱和高光色相DeltaHuea DesaturateHighlightHueDeltaHuea
DFFR Dffr
漫反射RGB DiffuseRgb
远距离天气效果颜色 DistantWeatherEffectsColor
扭曲颗粒速度 DistortionGrainSpeed
景深圆形量 DofCircularAmount
景深去饱和 DofDesaturation
景深启用 DofEnabled
景深启用SE DofEnabledSe
景深焦距 DofFocalDistance
景深近焦距 DofFocalDistanceClose
景深远距最大值 DofFocalFarMax
景深远距近最大值 DofFocalFarMaxClose
景深远距缩放 DofFocalFarScale
景深远距近缩放 DofFocalFarScaleClose
景深近距最大值 DofFocalNearMax
景深近距近最大值 DofFocalNearMaxClose
景深近距缩放 DofFocalNearScale
景深近距近缩放 DofFocalNearScaleClose
景深焦区 DofFocalRegion
景深近焦区 DofFocalRegionClose
景深焦区结束 DofFocalRegionEnd
景深近焦区结束 DofFocalRegionEndClose
景深焦区开始 DofFocalRegionStart
景深近焦区开始 DofFocalRegionStartClose
景深聚焦球大小 DofFocusSphereSize
景深过渡距离 DofTransitionDistance
景深过渡幂 DofTransitionPow
景深权重 DofWeights
DWORD Dword
动态景深当前 DynamicDofCurrent
ENXI Enxi
EVNF Evnf
曝光自动启用 ExposureAutoEnabled
曝光中心大小 ExposureCenterSize
曝光阻尼下降 ExposureDampeningDown
曝光阻尼上升 ExposureDampeningUp
曝光漂移间隔收缩量 ExposureDriftIntervalShrinkAmount
曝光环境亮度最大值 ExposureEnvironmentLuminanceMax
曝光环境亮度最小值 ExposureEnvironmentLuminanceMin
曝光环境亮度目标 ExposureEnvironmentLuminanceTarget
曝光忽略暗部 ExposureIgnoreDarks
曝光忽略亮部 ExposureIgnoreLights
曝光最大对数亮度 ExposureMaxLogLuma
曝光最大速度 ExposureMaxSpeed
曝光中值插值 ExposureMedianLerp
曝光最小对数亮度 ExposureMinLogLuma
曝光偏移下降 ExposureOffsetDown
曝光偏移上升 ExposureOffsetUp
曝光目标 ExposureTarget
曝光目标漂移下降 ExposureTargetDriftDown
曝光目标漂移上升 ExposureTargetDriftUp
面索引 FaceIndex
假太空光颜色 FakeSpaceLightColor
假太空光方向 FakeSpaceLightDirection
远环境粒子相机距离 FarEnvironmentParticlesCameraDist
远环境粒子间接 FarEnvironmentParticlesIndirection
远环境粒子位置大小 FarEnvironmentParticlesPositionSize
远散射密度倍增 FarScatterDensityMult
远散射高度混合淡出距离 FarScatterHeightBlendFadeDistance
远散射索引密度偏差 FarScatterIndexDensityBias
耀斑幽灵强度 FlareGhostsIntensity
耀斑幽灵缩放 FlareGhostsScale
耀斑光方向 FlareLightDirection
浮点 Float
雾环境地面反弹色调 FogAmbientGroundBounceTint
雾环境色调 FogAmbientTint
雾过滤 FogFiltering
雾噪点量 FogNoiseAmount
帧历史失效 FrameHistoryInvalidation
全屏矩形 FullscreenRect
全屏UV矩形 FullscreenUvRect
生成材质烧焦 GeneratedMaterialsScorch
生成区域 GeneratedZones
故障扭曲量 GlitchDistortionamount
故障网格大小 GlitchGridSize
辉光Alpha乘 GlowAlphaMul
辉光颜色 GlowColor
辉光范围 GlowRange
GPFW Gpfw
渐变BL GradientBl
渐变BR GradientBr
渐变信息 GradientInfo
渐变TL GradientTl
渐变TR GradientTr
GWUQ Gwuq
有常量颜色 HasConstantColor
热雾量 HeathazeAmount
热雾扭曲属性 HeathazeDistortionProperties
热雾遮罩属性 HeathazeMaskProperties
热雾噪点属性 HeathazeNoiseProperties
起始高度 HeightAtStart
高度采样 HeightSample
高度图AO角度衰减 HeightmapAoAngleFalloff
高度图AO偏差 HeightmapAoBias
高度图AO启用 HeightmapAoEnabled
高度图AO衰减 HeightmapAoFalloff
高度图AO高度淡出 HeightmapAoHeightFade
高度图AO强度 HeightmapAoIntensity
高度图磁盘大小 HeightmapDiskSize
高空云覆盖率 HighAltCloudCoverage
高空云阴影总距离 HighAltCloudShadowTotalDistance
高空云锐度 HighAltCloudSharpness
高空阴影强度 HighAltShadowIntensity
高空体积云天气当前 HighAltVolumetricCloudsWeatherCurrent
高海拔大气光颜色 HighAltitudeAtmosphereLightColor
高海拔云覆盖率偏移 HighAltitudeCloudCoverageOffset
高海拔云偏移 HighAltitudeCloudOffset
高海拔云污迹偏移 HighAltitudeCloudSmudgeOffset
直方图 Histogram
索引材质 IndexedMaterial
输入 Input
输入Mip级别 InputMipLevel
逆地形WTM InverseTerrainWtm
ISGN Isgn
ISGND Isgnd
ISGNH Isgnh
ISGNH Isgnh
ISGNL Isgnl
ISGNL Isgnl
ISGNP Isgnp
ISGNP Isgnp
JQYT Jqyt
KUID Kuid
镜头光晕泛光级别权重 LensFlareBloomLevelWeights
镜头光晕泛光级别权重夜晚 LensFlareBloomLevelWeightsNight
镜头光晕镜头污垢量 LensFlareLensDirtAmount
镜头质量属性 LensQualityProperties
关卡生成细分 LevelGenerationSubdevisions
光照 Light
光照衰减 LightFalloff
聚光灯衰减 LightSpotFalloff
线性采样器 LinearSampler
LMBP Lmbp
局部相机方向 LocalCameraDir
局部相机上 LocalCameraUp
局部结束位置 LocalEndPos
局部起始位置 LocalStartPos
LUT索引 LutIndex
主要步骤 MainSteps
遮罩索引 MaskIdx
材质查找烘焙 MaterialLookupBake
Mie Beta太空行星 MieBetaSpaceplanet
精神扰乱不透明度 MindScrambleOpacity
小地图轮廓亮度 MinimapContourBrightness
小地图高色 MinimapHighColor
小地图低色 MinimapLowColor
小地图着色权重 MinimapShadingWeight
Mip粗糙度 MipRoughness
Mip速度 MipSpd
镜像屏幕 MirrorScreen
运动模糊量 MotionBlurAmount
运动模糊量倍增 MotionBlurAmountMultiplier
运动模糊启用 MotionBlurEnabled
运动模糊启用SE MotionBlurEnabledSe
鼠标位置 MousePos
NMA NMa
子采样数 NSubSamples
近环境粒子相机距离 NearEnvironmentParticlesCameraDist
近环境粒子颜色不透明度 NearEnvironmentParticlesColorOpacity
近环境粒子间接 NearEnvironmentParticlesIndirection
近环境粒子参数 NearEnvironmentParticlesParameters
近环境粒子位置大小 NearEnvironmentParticlesPositionSize
近环境粒子速度 NearEnvironmentParticlesVelocity
近地面雾颜色 NearGroundFogColor
近地面雾曲线 NearGroundFogCurve
近地面雾密度 NearGroundFogDensity
近地面雾高度 NearGroundFogHeight
近地面雾噪点量 NearGroundFogNoiseAmount
星云扭曲强度 NebulaDistortionIntensity
星云扭曲比例 NebulaDistortionScale
星云尘埃截止 NebulaDustCuttoff
星云尘埃密度 NebulaDustDensity
星云尘埃比例 NebulaDustScale
星云生成种子 NebulaGenerationSeed
星云宏观比例 NebulaMacroScale
夜晚量 NightAmount
组数 NumGroups
Mip贴图数量 NumMips
UAV采样数 NumSamplesUav
OALW Oalw
物体到世界矩阵 ObjectToWorld
ODUL Odul
偏移 Offset
OMGL Omgl
原始 Original
OSGN Osgn
OSGND Osgnd
OSGNH Osgnh
OSGNL Osgnl
OSGNL Osgnl
OSGNP Osgnp
OSGNT Osgnt
外轮廓距离 OuterOutlineDistance
轮廓透明度倍增 OutlineAlphaMul
输出 Output
输出Mip级别 OutputMipLevel
输出渲染目标 OutputRt
输出目标基础尺寸 OutputTargetBaseSize
输出目标尺寸 OutputTargetSize
外部地图遮罩 OutsideMapMask
回放笔划部分 PartOfReplayStroke
PCG对比度 PcgContrast
PCG曝光 PcgExposure
PCG高光 PcgHighlights
PCG高光平衡 PcgHighlightsBalance
PCG高光结束 PcgHighlightsEnd
PCG高光开始 PcgHighlightsStart
PCG色调偏移 PcgHueShift
PCG中间调 PcgMidtones
PCG中间调平衡 PcgMidtonesBalance
PCG混合器蓝到蓝 PcgMixerBlueToBlue
PCG混合器蓝到绿 PcgMixerBlueToGreen
PCG混合器蓝到红 PcgMixerBlueToRed
PCG混合器绿到蓝 PcgMixerGreenToBlue
PCG混合器绿到绿 PcgMixerGreenToGreen
PCG混合器绿到红 PcgMixerGreenToRed
PCG混合器红到蓝 PcgMixerRedToBlue
PCG混合器红到绿 PcgMixerRedToGreen
PCG混合器红到红 PcgMixerRedToRed
PCG饱和度 PcgSaturation
PCG阴影 PcgShadows
PCG阴影平衡 PcgShadowsBalance
PCG阴影结束 PcgShadowsEnd
PCG阴影开始 PcgShadowsStart
PCG色温 PcgTemperature
PCG色调 PcgTint
PCSG Pcsg
行星大气启用 PlanetAtmosphereEnabled
行星大气行星尺寸 PlanetAtmospherePlanetSize
投影 Proj
像素偏移 PxOffset
量化亮度 QuantizedLuma
半径 Radius
瑞利色调Hax RayleighTintHax
瑞利色调Hax太空行星 RayleighTintHaxSpaceplanet
RDEF Rdef
RDEFD Rdefd
RDEFD Rdefd
RDEFH Rdefh
RDEFH Rdefh
RDEFL Rdefl
RDEFL Rdefl
RDEFP Rdefp
RDEFP Rdefp
RDEFT Rdeft
RDEFT Rdeft
RDEFX Rdefx
RDEFX Rdefx
实时立方体贴图当前面 RealtimeCubemapCurrentSide
实时更新星云 RealtimeUpdateNebula
实时更新星星 RealtimeUpdateStars
再生量 RegenAmount
替换水材质高度偏移 ReplaceWaterWithMaterialHeightOffset
替换水材质水下偏移 ReplaceWaterWithMaterialWaterSubmergeOffset
回放笔刷位置 ReplayBrushPos
回放图层值 ReplayLayerValue
重投影拖拽 ReprojectionDrag
波纹位移 RippleDisplacement
波纹分辨率 RippleRes
波纹速度 RippleSpeed
AO高度图采样 SampAoHeightmap
烘焙材质图集采样 SampBakerMaterialAtlas
笔刷纹理采样 SampBrushTexture
组合雾体积颜色密度采样 SampCombinedFogVolumesColorDensity
组合雾体积参数采样 SampCombinedFogVolumesParameters
宇宙尘埃LUT采样 SampCosmicDustLut
可变形地形遮罩采样 SampDeformableTerrainMask
发射星云LUT采样 SampEmissiveNebulaLut
远雾采样 SampFarFog
远阴影采样 SampFarShadows
远阴影体积采样 SampFarShadowsVolume
雾体积粒子纹理采样 SampFogVolumeParticleTexture
生成高度图源采样 SampGeneratedHeightmapSource
全局镜头污垢图采样 SampGlobalLensDirtMap
全局辐射图采样 SampGlobalRadianceMap
热浪纹理采样 SampHeathazeTexture
高海拔云颜色采样 SampHighAltitudeCloudsColor
高海拔云颜色探针采样 SampHighAltitudeCloudsColorProbe
思维扰乱纹理采样 SampMindScrambleTexture
外部地图远景高度图采样 SampOutsideMapVistaHeightmap
外部地图远景高度图频率图采样 SampOutsideMapVistaHeightmapFrequencyMap
行星噪点采样 SampPlanetNoise
道路方向目标采样 SampRoadDirectionTarget
散射反照率透明度采样 SampScatterAlbedoOpacity
散射反照率透明度数组采样 SampScatterAlbedoOpacityArray
散射比较密度采样 SampScatterComparisionDensity
散射密度采样 SampScatterDensity
散射查找采样 SampScatterLookup
散射法线数组采样 SampScatterNormalArray
散射RSH数组采样 SampScatterRshArray
散射次表面数组采样 SampScatterSubsurfaceArray
屏幕效果数据纹理采样 SampScreenEffectDataTexture
次要地图采样 SampSecondaryMap
飞船枢纽镜面插值源数组采样 SampShipHubSpecularLerpFromArray
飞船枢纽镜面插值目标数组采样 SampShipHubSpecularLerpToArray
天空盒效果纹理采样 SampSkyboxEffectTexture
太空探针背景采样 SampSpaceProbeBackdrop
太阳耀斑图像采样 SampSunFlareImage
太阳耀斑可见性查找采样 SampSunFlareVisibilityLookup
太阳耀斑可见性查找总和采样 SampSunFlareVisibilityLookupSum
太阳阴影图比较采样 SampSunShadowMapCmp
地形透明采样 SampTerrainTransparent
缩略图复制图像采样 SampThumbnailImageToCopy
远景云图集采样 SampVistaCloudAtlas
远景云次表面图集采样 SampVistaCloudSubsurfaceAtlas
体积云当前天气图采样 SampVolumetricCloudCurrentWeatherMap
体积云细节噪点组合采样 SampVolumetricCloudDetailNoiseCombined
体积云噪点组合采样 SampVolumetricCloudNoiseCombined
体积云深度采样 SampVolumetricCloudsDepth
体积云深度探针采样 SampVolumetricCloudsDepthProbe
体积云上一帧采样 SampVolumetricCloudsPrev
体积云当前天气采样 SampVolumetricCloudsWeatherCurrent
体积当前高海拔云采样 SampVolumetricCurrentHighAltitudeClouds
体积当前高海拔天气图采样 SampVolumetricCurrentHighAltitudeWeatherMap
水面高度采样 SampWaterHeight
水面补丁采样 SampWaterPatch
水面渲染目标采样 SampWaterRt
伤口LUT添加采样 SampWoundLutToAdd
各向异性包裹采样 SampWrapAnisotropic
饱和度 Saturation
比例 Scale
散射法线 ScatterNormal
散射RSH ScatterRsh
散射槽 ScatterSlot
散射次表面 ScatterSubsurface
散射次表面数组 ScatterSubsurfaceArray
散射平铺查找 ScatterTilerLookup
裁剪模式 ScissorMode
裁剪矩形 ScissorRect
裁剪矩形偏移 ScissorRectOffsets
屏幕亮度 ScreenBrightness
屏幕数据采样缓冲 ScreenDataSampleBuffer
屏幕数据采样位置 ScreenDataSamplePos
屏幕效果缓冲 ScreenEffectBuffer
阴影透明度倍增 ShadowAlphaMul
阴影密度 ShadowDensity
阴影深度偏移 ShadowDepthBias
阴影深度偏移组 ShadowDepthBiases
阴影后备强度 ShadowFallbackIntensity
阴影范围 ShadowRange
阴影柔和度 ShadowSoftness
阴影步进抖动 ShadowStepDither
阴影步进长度 ShadowStepLength
阴影步数 ShadowSteps
锐化量 SharpenAmount
锐化量 SharpeningAmount
锐度 Sharpness
SHDR Shdr
SHEX Shex
SHEXD Shexd
SHEXD Shexd
SHEXDA Shexda
SHEXDD Shexdd
SHEXH Shexh
SHEXH Shexh
SHEXHM Shexhm
SHEXL Shexl
SHEXL Shexl
SHEXL Shexl
SHEXP Shexp
SHEXP Shexp
SHEXPV Shexpv
SHEXPY Shexpy
SHEXT Shext
SHEXT Shext
SHEXT Shext
SHEXTD Shextd
SHEXTN Shextn
SHEXTP Shextp
SHEXX Shexx
SHEXX Shexx
SHEXXU Shexxu
飞船枢纽探针插值 ShipHubProbeLerp
天空相位G SkyPhaseG
天空盒效果方向 SkyboxEffectDirection
天空盒效果方向性 SkyboxEffectDirectionality
天空盒效果扭曲移动速度 SkyboxEffectDistortionMoveSpeed
天空盒效果扭曲平铺 SkyboxEffectDistortionTiling
天空盒效果扭曲平铺乘数 SkyboxEffectDistortionTilingMultipliers
天空盒效果扭曲权重 SkyboxEffectDistortionWeights
天空盒效果指数 SkyboxEffectExponent
天空盒效果强度 SkyboxEffectIntensity
天空盒效果移动速度乘数 SkyboxEffectMovementSpeedMultiplier
天空盒效果视差量 SkyboxEffectParallaxAmount
天空盒效果视差大波浪量 SkyboxEffectParallaxBigWaveAmount
天空盒效果视差大波浪因子 SkyboxEffectParallaxBigWaveFactor
天空盒效果视差因子 SkyboxEffectParallaxFactor
天空盒效果旋转速度 SkyboxEffectRotateSpeed
天空盒效果天空穹顶对象分层 SkyboxEffectSkydomeObjectLayering
天空盒效果平滑步输入范围 SkyboxEffectSmoothstepInputRange
天空盒效果平滑步遮罩 SkyboxEffectSmoothstepMask
天空盒效果平滑步范围 SkyboxEffectSmoothstepRange
天空盒效果平滑步速度 SkyboxEffectSmoothstepSpeed
天空盒效果平滑步时间偏移 SkyboxEffectSmoothstepTimeOffset
天空盒效果球体扁平化 SkyboxEffectSphereFlattening
天空盒效果球体遮罩量 SkyboxEffectSphereMaskAmount
天空盒效果球体遮罩扭曲 SkyboxEffectSphereMaskDistortion
天空盒效果球体遮罩高度 SkyboxEffectSphereMaskHeight
天空盒效果球体遮罩幂 SkyboxEffectSphereMaskPower
天空盒效果球体遮罩高幂 SkyboxEffectSphereMaskPowerHigh
天空盒效果球体遮罩低幂 SkyboxEffectSphereMaskPowerLow
天空盒效果平铺混合乘加遮罩 SkyboxEffectTilerBlendMultiplyAddMasked
天空盒效果平铺扭曲乘数 SkyboxEffectTilerDistortionMultiplier
天空盒效果平铺移动速度 SkyboxEffectTilerMoveSpeed
天空盒效果平铺脉动速度 SkyboxEffectTilerPulsatingSpeed
天空盒效果平铺平铺 SkyboxEffectTilerTiling
天空盒效果向上淡出量 SkyboxEffectUpFadeAmount
天空盒效果向上淡出指数 SkyboxEffectUpFadeExponent
天空盒效果波浪扭曲乘数 SkyboxEffectWaveDistortionMultiplier
天空盒效果波浪指数 SkyboxEffectWaveExponent
天空盒效果波浪移动速度 SkyboxEffectWaveMoveSpeed
天空盒效果波浪平铺 SkyboxEffectWaveTiling
Soup顶点偏移 SoupVertexOffset
太空背景距离比例 SpaceBackdropDistanceScale
太空探针背景临时 SpaceProbeBackdropTmp
太空太阳光颜色 SpaceSunLightColor
SS间接光亮度乘数 SsIndirectLightBrightnessMultiplier
SS间接光启用 SsIndirectLightEnabled
SS间接光淡出米数 SsIndirectLightFadeMeters
SS间接光遮罩乘数 SsIndirectLightMaskMultiplier
SS间接光法线偏移 SsIndirectLightNormalBias
SS间接光法线幂 SsIndirectLightNormalPower
SS间接光位置幂 SsIndirectLightPositionPower
SS间接光半径 SsIndirectLightRadius
SS间接光半径幂 SsIndirectLightRadiusPower
SS间接光SSAO插值 SsIndirectLightSsaoLerp
SSAO启用 SsaoEnabled
SSET Sset
SSGI启用 SsgiEnabled
SSR启用 SsrEnabled
SSR每帧采样数 SsrSamplesPerFrame
SSR总帧数 SsrTotalFrames
星星清除比例 StarClearanceScale
星星数量 StarCount
星星生成种子 StarGenerationSeed
星星强度 StarIntensity
星星星等 StarMagnitudes
星星温度 StarTemperatures
状态 Stat
STATT Statt
模板缓冲 StencilBuffer
步进抖动 StepsDither
日食量 SunEclipsedAmount
太阳耀斑强度 SunFlareIntensity
太阳耀斑比例 SunFlareScale
太阳耀斑可见性查找总和 SunFlareVisibilityLookupSum
太阳光颜色 SunLightColor
太阳光方向 SunLightDirection
日落量 SunsetAmount
SV目标 SvTarget
目标曝光位置 TargetExposurePos
临时逆视图 TemporaryInvView
